,revenue
102,14961069
2110,12000000
90,180949000
514,53447
2828,56000000
476,6375979
2579,67192859
296,52322400
591,234748
2768,111300
883,77278331
1443,10755447
147,86758912
156,8262833
1181,222231186
536,19184015
915,61700000
1969,343341
1496,202466756
2481,51148651
1943,26155781
895,5438927
1427,119772232
651,12232628
267,3151130
846,7227038
766,24719215
1109,44196684
1369,49000000
2587,41480851
498,25
881,1025491110
1105,15530077
516,6000000
1500,408247917
1760,596000
2176,3897799
311,12250
928,641
1009,56505065
722,7399763
1956,1200000
2872,14723313
1816,288312
2735,11657385
2272,1007962
469,115103979
1978,30199105
1782,1305195
1132,230884728
207,66000000
2270,3000000
1255,39598448
461,147880543
1545,51416464
972,70600000
1510,118063304
2004,15071514
2403,15691192
2523,3661757
700,38748395
506,6673422
732,11220670
1063,748806957
2685,17092453
1398,18626419
1150,9250000
1988,21486757
812,244386864
769,4192440
988,134095253
1061,8692426
183,17555141
79,779820
1935,123494610
1688,91636986
2070,10878107
20,136159423
2751,29355203
2521,74134790
218,5010362
155,109862682
98,23000000
248,147080413
1026,27635305
1430,23727301
3,16000000
1513,1631839
2021,260354
126,15500000
1916,39673162
40,163000
776,49554002
906,1084939099
280,10
398,75505856
2138,9700000
2629,32709423
2402,170268750
2409,48814909
1590,1031243
2717,110996879
111,22034832
2216,5659286
1523,1831348
2814,1547397
1618,229000
2643,100076342
2001,1250712
2399,15
482,35743308
2170,15656193
2504,3960327
1768,76514050
2725,102471
2591,40263020
704,59908565
276,14000000
323,161626121
733,1954937
552,141591324
1372,17277
2254,53191886
2786,101236
2047,10130000
2783,102244770
1392,471222889
2842,17297244
1742,25480490
1154,16519460
1591,53208180
1668,7830611
648,16300000
239,57588485
1944,20471382
2736,16775
2995,1596687
1833,1200627
1390,68106245
2230,9132000
120,347325802
877,38502340
821,2600000
1659,8178569
464,15369573
339,2200000
634,44527234
1060,43984230
1038,245623848
2380,9304609
1249,419651413
2204,28169671
370,1192322
211,470654000
2639,67112664
2807,22175908
1003,1841260
342,152810
1869,100489151
741,402539
2310,7900000
2892,5794184
2114,37930465
1945,712294
706,14363400
57,238207122
671,5900000
305,193772504
1116,38172500
1315,26010864
645,1000000
537,335062621
2101,1332231
600,356830601
1992,6000000
2696,27400000
238,505000000
2688,2627209
2085,11000000
1176,25005257
1035,30127963
746,249905
1504,286201
987,23570541
1020,87600000
2624,252434250
2728,646714
686,86234523
110,67631903
695,2
2117,4
654,553198
1337,2600000
1432,205298907
791,222300000
2037,130000
538,474171806
748,34153101
2444,694497
2044,371940071
2275,21786738
598,1151330
106,15134293
2507,5967038
189,16337881
2224,536364
28,5849647
1600,6808550
13,95226116
1096,26330482
1900,266000000
1230,193355800
2935,102000000
1186,680224
175,207283925
25,8403433
2526,33697647
2996,180590
2077,1501785
1938,20211394
2005,18591272
