,Grade,Gender,Business School vs Arts&Science,How many hours do you study per week?,Held position,Semester GPA BEFORE holding one of your leadership positions,Semester GPA AFTER holding that same leadership position,"On a 1-5 scale, how successful did your leadership position make you feel as a student after holding your position?",Do you think you have a better chance at an internship/job if you have a leadership position on your resume?,Current Cumulative GPA,Did you feel successful at Bryant without a leadership position?,Do you think you have a better chance at an internship/job if you have a leadership position on your resume?2,Leaders,Target
0,1,2,1,1-3,1,3.6,3.6,3.0,1,,,,Leader,Job or Internship
1,1,2,1,1-3,1,3.54,3.56,4.0,1,,,,Leader,None
2,1,1,1,4-6,1,3.5,3.3,3.0,1,,,,Leader,None
3,1,2,1,4-6,1,3.3,3.7,5.0,1,,,,Leader,Both
4,1,2,1,1-3,1,3.2,3.2,4.0,1,,,,Leader,Job or Internship
5,1,2,2,10+,1,3.4,3.83,4.0,1,,,,Leader,Both
6,1,2,3,7-9,1,3.82,3.85,5.0,1,,,,Leader,Job or Internship
7,1,1,1,4-6,1,3.4,3.5,4.0,1,,,,Leader,Both
8,1,2,1,7-9,1,3.4,3.2,4.0,1,,,,Leader,Job or Internship
9,1,2,1,4-6,1,3.8,4.0,5.0,1,,,,Leader,Job or Internship
10,1,2,1,4-6,1,3.68,4.0,5.0,1,,,,Leader,Job or Internship
11,1,1,1,1-3,1,3.18,2.9,5.0,1,,,,Leader,Job or Internship
12,1,2,1,4-6,0,,,,0,3.58,1.0,1.0,Non-Leader,Both
13,1,1,1,1-3,1,3.4,3.5,5.0,1,,,,Leader,Job or Internship
14,1,2,2,10+,1,3.4,3.7,5.0,1,,,,Leader,Job or Internship
15,1,2,2,4-6,1,3.28,3.92,5.0,1,,,,Leader,Both
16,1,2,2,4-6,1,3.6,3.8,5.0,1,,,,Leader,Both
17,1,2,2,4-6,1,3.7,3.5,4.0,1,,,,Leader,Both
18,1,2,1,7-9,1,3.0,3.0,5.0,1,,,,Leader,Job or Internship
19,2,2,1,4-6,1,3.66,3.82,5.0,1,,,,Leader,Job or Internship
20,1,2,1,7-9,1,3.85,4.0,4.0,1,,,,Leader,Both
21,1,2,1,7-9,1,3.6,3.8,5.0,1,,,,Leader,Both
